,Season_ID,Season,League,Player_ID,Players,Points,Clubs,Position,Start,Goals,A,CS,CS.part,Yellow,Red,Sub,CO,Off,Pen.SV,Pen.M,Goals.conceded,Conceded.1.,OG
10002,07/08-PL,2007/2008,Premier League,07/08-Adrian Leijer,Adrian Leijer,0,FFC,Defender,0,0,0,0,0,0,0,3,0,0,-,0,0,0,0
10003,07/08-PL,2007/2008,Premier League,07/08-Christian Dailly,Christian Dailly,0,WESTHAM,Defender,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0
10004,07/08-PL,2007/2008,Premier League,07/08-James Sinclair,James Sinclair,0,BWFC,Forward,0,0,0,-,-,0,0,3,0,0,-,0,-,-,0
10005,07/08-PL,2007/2008,Premier League,07/08-Lee Holmes,Lee Holmes,0,DCFC,Midfielder,0,0,0,-,-,0,0,2,0,0,-,0,-,-,0
10006,07/08-PL,2007/2008,Premier League,07/08-David Martin,David Martin,0,LPOOL,Goalkeeper,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
10007,07/08-PL,2007/2008,Premier League,07/08-Alan Bennett,Alan Bennett,0,RFC,Defender,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0
10008,07/08-PL,2007/2008,Premier League,07/08-Michael Kay,Michael Kay,0,SUND,Defender,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0
10009,07/08-PL,2007/2008,Premier League,07/08-Thomas Sorensen,Thomas Sorensen,0,AVILLA,Goalkeeper,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10010,07/08-PL,2007/2008,Premier League,07/08-John Ruddy,John Ruddy,0,EVER,Goalkeeper,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
10011,07/08-PL,2007/2008,Premier League,07/08-Ricardo Batista,Ricardo Batista,0,FFC,Goalkeeper,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
